Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
08:30 - 09:00,3220.31,-4.3,3224.61,3224.7,3218.61,1800,N.A.
09:00 - 09:30,3221.84,1.53,3220.32,3223.79,3220.07,1800,N.A.
09:30 - 10:00,3224.6,2.76,3221.87,3224.65,3221.14,1800,N.A.
10:00 - 10:30,3221.21,-3.39,3224.56,3224.69,3217.84,1798,N.A.
10:30 - 11:00,3220.04,-1.17,3221.11,3221.37,3219.06,600,N.A.
21JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3199.07,-20.97,3210.24,3212.72,3195.79,1794,N.A.
02:30 - 03:00,3199.21,0.14,3198.91,3200.11,3189.85,1800,N.A.
03:00 - 03:30,3196.63,-2.58,3199.35,3199.35,3191.37,1800,N.A.
03:30 - 04:00,3201.95,5.32,3196.68,3201.95,3194.28,1799,N.A.
04:00 - 04:30,3202.39,0.44,3201.79,3205.15,3198.27,1800,N.A.
04:30 - 05:00,3198.32,-4.07,3202.4,3203.09,3195.67,1800,N.A.
05:00 - 05:30,3196.87,-1.45,3198.23,3198.88,3195.15,1799,N.A.
05:30 - 06:00,3191.37,-5.5,3196.87,3197.09,3190.38,1800,N.A.
06:00 - 06:30,3192.03,0.66,3191.43,3192.47,3185.65,1800,N.A.
06:30 - 07:00,3193.62,1.59,3192.05,3193.78,3189.97,1799,N.A.
07:00 - 07:30,3195.64,2.02,3193.57,3197.1,3193.47,1800,N.A.
07:30 - 08:00,3193.94,-1.7,3195.73,3198.42,3193.48,1800,N.A.
08:00 - 08:30,3193.56,-0.38,3193.98,3194.59,3191.27,1799,N.A.
08:30 - 09:00,3192.47,-1.09,3193.58,3197.46,3191.84,1800,N.A.
09:00 - 09:30,3198.87,6.4,3192.34,3199.91,3192.26,1799,N.A.
09:30 - 10:00,3209.59,10.72,3198.91,3211.06,3196.94,1800,N.A.
10:00 - 10:30,3207.54,-2.05,3209.69,3213.38,3205.64,1800,N.A.
10:30 - 11:00,3207.66,0.12,3207.58,3208.87,3206.45,600,N.A.
22JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3213.9,6.24,3214.59,3222.93,3210.81,1800,N.A.
02:30 - 03:00,3209.47,-4.43,3213.93,3214.35,3207.81,1799,N.A.
03:00 - 03:30,3210.58,1.11,3209.42,3214.1,3208.18,1800,N.A.
03:30 - 04:00,3205.54,-5.04,3210.56,3211.32,3205.03,1800,N.A.
04:00 - 04:30,3202.52,-3.02,3205.25,3208.35,3201.45,1798,N.A.
04:30 - 05:00,3205.49,2.97,3202.72,3207.72,3199.82,1799,N.A.
05:00 - 05:30,3204.57,-0.92,3205.46,3207.84,3203.12,1800,N.A.
05:30 - 06:00,3201.99,-2.58,3204.61,3204.66,3200.02,1800,N.A.
06:00 - 06:30,3193.22,-8.77,3201.98,3202.37,3193.22,1799,N.A.
06:30 - 07:00,3181.92,-11.3,3193.33,3193.53,3180.32,1800,N.A.
07:00 - 07:30,3185.69,3.77,3181.84,3187.81,3180.42,1800,N.A.
07:30 - 08:00,3183.1,-2.59,3185.63,3188.24,3182.92,1800,N.A.
08:00 - 08:30,3184.51,1.41,3183.1,3186.12,3177.61,1798,N.A.
08:30 - 09:00,3183.29,-1.22,3184.81,3185.47,3181.07,1799,N.A.
09:00 - 09:30,3187.04,3.75,3183.28,3188.43,3182.62,1800,N.A.
09:30 - 10:00,3184.46,-2.58,3187.26,3190.68,3182.46,1800,N.A.
10:00 - 10:30,3178.62,-5.84,3184.24,3184.73,3177.95,1800,N.A.
10:30 - 11:00,3178.91,0.29,3178.75,3180.02,3177.46,600,N.A.
23JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3162.03,-16.88,3158.45,3162.68,3151.27,1798,N.A.
02:30 - 03:00,3155.26,-6.77,3162.13,3164.82,3153.9,1800,N.A.
03:00 - 03:30,3155,-0.26,3154.85,3159.23,3149.21,1800,N.A.
03:30 - 04:00,3161.85,6.85,3155.02,3163.5,3154.96,1800,N.A.
04:00 - 04:30,3162.35,0.5,3162.08,3164.71,3159.36,1799,N.A.
04:30 - 05:00,3162.38,0.03,3162.16,3164.83,3160.14,1799,N.A.
05:00 - 05:30,3163.99,1.61,3162.38,3166.36,3161.37,1800,N.A.
05:30 - 06:00,3162.99,-1,3163.99,3165.87,3162.86,1800,N.A.
06:00 - 06:30,3163.54,0.55,3163.01,3165.37,3158.87,1800,N.A.
06:30 - 07:00,3166.75,3.21,3163.63,3169.17,3162.65,1800,N.A.
07:00 - 07:30,3169.2,2.45,3166.77,3169.84,3166.12,1800,N.A.
07:30 - 08:00,3165.1,-4.1,3169.09,3170.41,3164.82,1800,N.A.
08:00 - 08:30,3164.63,-0.47,3165.11,3165.88,3162.13,1800,N.A.
08:30 - 09:00,3157.87,-6.76,3164.62,3165.38,3156.98,1800,N.A.
09:00 - 09:30,3146.08,-11.79,3157.9,3157.9,3145.01,1800,N.A.
09:30 - 10:00,3139.84,-6.24,3146.15,3148.13,3135.15,1800,N.A.
10:00 - 10:30,3138.57,-1.27,3139.91,3144.07,3136.89,1799,N.A.
10:30 - 11:00,3140,1.43,3138.46,3143.5,3138.46,600,N.A.
24JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3163.14,23.14,3151.73,3165.86,3147.28,1797,N.A.
02:30 - 03:00,3157.8,-5.34,3162.93,3163.78,3157.36,1800,N.A.
03:00 - 03:30,3155.94,-1.86,3157.91,3160.89,3155.17,1799,N.A.
03:30 - 04:00,3161.34,5.4,3156.86,3164.52,3155.05,1800,N.A.
04:00 - 04:30,3156.38,-4.96,3161.34,3162.33,3155.55,1799,N.A.
04:30 - 05:00,3151.67,-4.71,3156.37,3157.75,3151.17,1800,N.A.
05:00 - 05:30,3147.46,-4.21,3151.46,3151.62,3146.78,1798,N.A.
05:30 - 06:00,3137.92,-9.54,3147.41,3147.71,3134.7,1800,N.A.
06:00 - 06:30,3147.24,9.32,3137.92,3150.5,3137.12,1800,N.A.
06:30 - 07:00,3156.37,9.13,3147.12,3157.66,3145.47,1798,N.A.
07:00 - 07:30,3158.45,2.08,3156.5,3159.51,3155.57,1799,N.A.
07:30 - 08:00,3153.06,-5.39,3158.55,3159.8,3151.85,1800,N.A.
08:00 - 08:30,3157.33,4.27,3153.02,3160.11,3150,1800,N.A.
08:30 - 09:00,3155.26,-2.07,3157.31,3158.57,3152.56,1799,N.A.
09:00 - 09:30,3148.91,-6.35,3155.22,3155.54,3146.65,1799,N.A.
09:30 - 10:00,3151.26,2.35,3148.74,3151.26,3142.38,1800,N.A.
10:00 - 10:30,3144.83,-6.43,3151.17,3153.2,3144.02,1800,N.A.
10:30 - 11:00,3146.32,1.49,3144.69,3146.89,3143.09,599,N.A.
27JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3105.38,-40.94,3123.71,3123.71,3098.66,1800,N.A.
02:30 - 03:00,3103.57,-1.81,3105.06,3106.14,3100.68,1799,N.A.
03:00 - 03:30,3117.28,13.71,3103.69,3119.6,3103.48,1800,N.A.
03:30 - 04:00,3114.73,-2.55,3117.2,3117.9,3111.34,1799,N.A.
04:00 - 04:30,3104.59,-10.14,3114.62,3114.87,3104.59,1798,N.A.
04:30 - 05:00,3094.92,-9.67,3104.33,3105.01,3094.89,1796,N.A.
05:00 - 05:30,3083.65,-11.27,3094.96,3096.44,3083.42,1800,N.A.
05:30 - 06:00,3086.45,2.8,3083.63,3087.89,3081.94,1797,N.A.
06:00 - 06:30,3084.37,-2.08,3086.49,3086.49,3077.13,1799,N.A.
06:30 - 07:00,3084.17,-0.2,3084.33,3087.96,3079.97,1799,N.A.
07:00 - 07:30,3086.93,2.76,3084.28,3087.85,3081.6,1800,N.A.
07:30 - 08:00,3087.66,0.73,3087.03,3089.47,3084.47,1799,N.A.
08:00 - 08:30,3080.5,-7.16,3087.66,3087.92,3079.37,1797,N.A.
08:30 - 09:00,3082.6,2.1,3080.54,3083.73,3079.14,1800,N.A.
09:00 - 09:30,3077.85,-4.75,3082.66,3084.23,3076.72,1800,N.A.
09:30 - 10:00,3089.41,11.56,3077.39,3094.28,3076.68,1800,N.A.
10:00 - 10:30,3087.66,-1.75,3089.45,3091.36,3085.06,1799,N.A.
10:30 - 11:00,3093.85,6.19,3087.58,3094.55,3086.82,599,N.A.
28JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3105.09,11.24,3098.44,3106.29,3096.5,1799,N.A.
02:30 - 03:00,3103.78,-1.31,3105.08,3106.18,3099.75,1796,N.A.
03:00 - 03:30,3092.09,-11.69,3103.79,3103.89,3090.5,1798,N.A.
03:30 - 04:00,3082.39,-9.7,3092.03,3093.09,3080.23,1797,N.A.
04:00 - 04:30,3072.57,-9.82,3082.74,3082.99,3068.67,1800,N.A.
