Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
04:30 - 05:00,51882.67,-80.78,51963.32,51978.57,51875.02,2781,N.A.
05:00 - 05:30,51766.57,-116.1,51882.67,51882.94,51716.94,3641,N.A.
05:30 - 06:00,51751.34,-15.23,51766.81,51797,51716.46,3755,N.A.
06:00 - 06:30,51709.76,-41.58,51749.96,51752.18,51672.04,3557,N.A.
06:30 - 07:00,51696.38,-13.38,51709.87,51741.28,51672.27,3284,N.A.
07:00 - 07:30,51741.08,44.7,51696.55,51741.83,51681.24,3896,N.A.
07:30 - 08:00,51740.22,-0.86,51741.22,51790.98,51733.21,3064,N.A.
08:00 - 08:30,51869.63,129.41,51740.42,52023.38,51739.53,7193,N.A.
08:30 - 09:00,52004.18,134.55,51869.41,52010.1,51865.02,6497,N.A.
09:00 - 09:30,52005.62,1.44,52003.65,52051.64,51990.06,8894,N.A.
09:30 - 10:00,51981.67,-23.95,52005.75,52091.22,51981.67,6125,N.A.
10:00 - 10:30,51965.24,-16.43,51965.24,51965.24,51965.24,1,N.A.
17JAN2020_00:00:00.000000,,,,,,,
01:30 - 02:00,51965.24,0,51965.24,51965.24,51965.24,1,N.A.
02:00 - 02:30,52153.54,188.3,51955.98,52166.39,51955.98,2314,N.A.
02:30 - 03:00,52430.12,276.58,52154.58,52462.08,52152.94,3686,N.A.
03:00 - 03:30,52369.94,-60.18,52428.06,52435.91,52304.95,4889,N.A.
03:30 - 04:00,52454.51,84.57,52369.63,52462.12,52320.45,4353,N.A.
04:00 - 04:30,52439.65,-14.86,52450.64,52475.07,52419.92,2824,N.A.
04:30 - 05:00,52395.2,-44.45,52440.01,52440.01,52371.11,3967,N.A.
05:00 - 05:30,52387.47,-7.73,52395.75,52437.82,52361.83,4964,N.A.
05:30 - 06:00,52381.77,-5.7,52387.43,52437.51,52369.97,3257,N.A.
06:00 - 06:30,52427.55,45.78,52381.66,52433.95,52381.66,3441,N.A.
06:30 - 07:00,52471.63,44.08,52427.1,52479.43,52426.71,3383,N.A.
07:00 - 07:30,52520.65,49.02,52472,52536.87,52463.49,3853,N.A.
07:30 - 08:00,52621.04,100.39,52522,52639.17,52496.12,4101,N.A.
08:00 - 08:30,52766.31,145.27,52621.77,52792.34,52617.5,5600,N.A.
08:30 - 09:00,52732.79,-33.52,52766.23,52842.39,52725.05,5226,N.A.
09:00 - 09:30,52716.27,-16.52,52730.7,52801.26,52697.29,6048,N.A.
09:30 - 10:00,52755.99,39.72,52715.89,52763.29,52642.88,5247,N.A.
10:00 - 10:30,52735.75,-20.24,52735.75,52735.75,52735.75,1,N.A.
20JAN2020_00:00:00.000000,,,,,,,
01:30 - 02:00,52735.75,0,52735.75,52735.75,52735.75,1,N.A.
02:00 - 02:30,52768.22,32.47,52749.46,52815.28,52643.66,1964,N.A.
02:30 - 03:00,52710.29,-57.93,52767.29,52812.68,52709.16,2471,N.A.
03:00 - 03:30,52680.51,-29.78,52710.29,52834.69,52655.1,3972,N.A.
03:30 - 04:00,52635.2,-45.31,52680.51,52709.66,52633.92,2985,N.A.
04:00 - 04:30,52699.03,63.83,52635.41,52713.54,52617.97,2734,N.A.
04:30 - 05:00,52755.15,56.12,52699.06,52770.33,52675.28,2820,N.A.
05:00 - 05:30,52741.52,-13.63,52755.58,52784.46,52710.06,3269,N.A.
05:30 - 06:00,52695.61,-45.91,52741.74,52745.79,52685.35,3224,N.A.
06:00 - 06:30,52668.22,-27.39,52695.42,52711.76,52648.92,2757,N.A.
06:30 - 07:00,52777.82,109.6,52668.5,52778.87,52658.16,3237,N.A.
07:00 - 07:30,52766.15,-11.67,52777.67,52803.97,52756.88,2919,N.A.
07:30 - 08:00,52685,-81.15,52766.06,52767.31,52676.42,2701,N.A.
08:00 - 08:30,52632.63,-52.37,52684.82,52696.85,52627.03,2874,N.A.
08:30 - 09:00,52645.84,13.21,52632.84,52662.46,52609.14,4109,N.A.
09:00 - 09:30,52699.71,53.87,52646.26,52701.81,52628.51,4385,N.A.
